time,PC1_class2,PC1_class0,PC1_class1
1998-01-01,-10.676660973041699,15.355171954825698,-23.38408957152305
1998-02-01,151.75777971319224,47.595291160302125,74.64741145733214
1998-03-01,-23.827789378191046,1.2553504676651779,-0.7484714604184788
1998-04-01,1.7415748438319534,17.42707162264533,43.600606035675305
1998-05-01,10.290257944687637,7.326120027838653,12.023100665093255
1998-06-01,-48.49563381997307,-23.46209891210183,-65.58409352718282
1998-07-01,-84.24748544854593,-37.92408791971907,-82.97468781128823
1998-08-01,-52.45325688341739,-9.28313115120181,-83.57188187760653
1998-09-01,23.714470100764736,6.56881648604516,29.82971821479632
1998-10-01,-40.14141185243791,-10.393754354224106,-30.257658449019168
1998-11-01,21.248649291814704,21.905451150949364,-4.978080156578104
1998-12-01,37.391830347802916,29.649751034658347,41.64271286925198
1999-01-01,-15.700233660931639,0.13786331876230803,-0.8981404354293799
1999-02-01,-21.95847455577586,-25.212415571890897,-38.89923012890448
1999-03-01,69.90435126714792,-31.90270764905863,13.794035298559512
1999-04-01,-1.64425553601718,7.9259577769783585,7.733981084453206
1999-05-01,18.80447842366442,51.41238997604769,8.202098702875574
1999-06-01,33.02010161787985,36.91361865310304,27.22622704522814
1999-07-01,12.332770240699277,-22.812108993284713,-3.623272649812049
1999-08-01,0.48928827888275067,15.085494635661576,36.865195128687276
1999-09-01,47.32939301357449,16.240593717835882,20.452338932287255
1999-10-01,32.17146242242927,-4.633973936893375,42.60885892234378
1999-11-01,4.224568773275134,-5.369536951024989,0.8571039544085204
1999-12-01,20.412907451279118,-7.898818441994336,-7.89800244670614
2000-01-01,-40.6074622338265,-2.737028510343569,-20.55381289841188
2000-02-01,-42.15356791658498,-5.956810468676779,-16.62476370512521
2000-03-01,-44.16361508297439,24.391828939588095,-24.18910220666868
2000-04-01,30.677287168296214,15.393149799356825,16.76717882673093
2000-05-01,18.897885356950432,11.051242475473407,31.553332270433767
2000-06-01,98.89506897946768,-7.064771915470487,21.682966965233753
2000-07-01,71.16954785149643,26.28038494025794,66.14552394016812
2000-08-01,-10.22344736771959,9.634790786692296,-37.82697508084233
2000-09-01,41.88604346056914,52.521498938672146,61.60294428861607
2000-10-01,23.04448450743174,8.791665061542256,15.865293668584346
2000-11-01,64.03608810528895,-15.335893201816846,49.12312435992812
2000-12-01,80.42032811264721,20.378773527690296,100.6064697800809
2001-01-01,-46.47573846325641,-1.773524900989157,-35.57307547662962
2001-02-01,-61.08770279606641,-31.50517865593354,-48.45555226937949
2001-03-01,-13.849386118972772,36.023972472434544,31.00352206173529
2001-04-01,43.58639752221479,60.25806794796089,-12.358526949165286
2001-05-01,-35.58924874472452,-19.985290645976587,-1.1213326999539857
2001-06-01,5.687441879279287,37.859680531807264,38.590607927284644
2001-07-01,69.63716991826655,0.9554404499290399,35.753699765848346
2001-08-01,65.15182327548172,-29.74725142482277,41.85687089107485
2001-09-01,43.14469113822679,34.79659134642272,25.109965070462515
2001-10-01,7.512386096458796,17.409316968229295,11.16737543935333
2001-11-01,-8.384932396617035,-18.394830921828888,-2.5531886046233216
2001-12-01,45.86178350878037,7.2904800710948505,37.229842277406746
2002-01-01,8.523896262688703,-1.6841657495630054,6.696191967207608
2002-02-01,-12.316661174518753,24.184275463110318,31.434118296736383
2002-03-01,14.588625996775162,5.283683843218747,46.19542207739274
2002-04-01,-31.32185750894703,3.2572432904008206,-6.432948361362492
2002-05-01,30.297289981877068,13.384703330160592,9.95869256133802
2002-06-01,-2.4373424453371597,24.424710760998767,-31.479780596206584
2002-07-01,-1.5874401082712362,4.854839828277066,31.629442559687966
2002-08-01,73.73848703522881,-19.173101141788575,60.3415695479916
2002-09-01,-8.691332045761813,25.031537576284823,12.618624469627253
2002-10-01,13.720910074917038,-7.129932549177861,-16.16821029819343
2002-11-01,25.754271028207015,-8.32654906117097,9.347665302913681
2002-12-01,21.267482008693072,-14.776635088506357,11.6155215160846
2003-01-01,-9.96451414550988,-2.3296688518342195,-9.23315730729952
2003-02-01,44.52165872327414,-20.041146312663326,-29.230675280068546
2003-03-01,65.42097510887066,5.301123924000149,57.967766549442686
2003-04-01,-39.994308300418766,6.320809042426758,-2.573825607560633
2003-05-01,-21.64806989105554,-6.70774468616822,11.519225592438113
2003-06-01,-12.907364422107301,-36.764374387811436,-24.9479701260902
2003-07-01,-21.996686825293946,-1.4625793433019492,17.40269876504183
2003-08-01,27.033452832403,-8.761307228810844,31.056026065407888
2003-09-01,-19.277322359904744,-1.2124547625643645,15.102716118042078
2003-10-01,7.264627383029365,-11.387772049757224,12.932844235344318
2003-11-01,44.062942915709236,28.840818846515457,46.119740960513234
2003-12-01,17.56668445805826,-8.367767745601062,-22.64726859675749
2004-01-01,12.349962011452536,0.9245791520625185,15.702103839774127
2004-02-01,-25.214328427039124,14.456369929140653,-26.523643475600892
2004-03-01,-36.33196437028984,19.330491381371402,-53.86488664141849
2004-04-01,21.91339681652564,-15.870475698139249,20.60855277255589
2004-05-01,-39.148780502575924,-8.71172113866501,-11.841435159008261
2004-06-01,5.560723227665691,-8.762466476301855,17.4750222486757
2004-07-01,20.97851077843568,-28.467102023804976,42.781294522243854
2004-08-01,100.43098963907943,43.20706673513273,142.46730422192107
2004-09-01,29.208992346074826,8.303731925148748,31.23127529494755
2004-10-01,47.23814557439271,-10.13624515288931,10.080713439462414
2004-11-01,-9.727097521698697,-30.029560942437772,6.203708055915146
2004-12-01,-85.44436059530864,6.352340091347604,-61.202362388269364
2005-01-01,3.760464592949353,-4.3655232574926295,-6.822958045841516
