,Upper Colorado Region,Great Basin Region,California Region,Lower Colorado Region,Pacific Northwest Region
Upper Colorado Region,1.0,0.5456824094822613,0.10731452390055778,0.5954687659472325,-0.12422750941225895
Great Basin Region,0.5456824094822613,1.0,0.7044655509265141,0.22940108949113955,0.41442763755039896
California Region,0.10731452390055778,0.7044655509265141,1.0,0.06564307250872944,0.7029883976502755
Lower Colorado Region,0.5954687659472325,0.22940108949113955,0.06564307250872944,1.0,-0.3050628505159646
Pacific Northwest Region,-0.12422750941225895,0.41442763755039896,0.7029883976502755,-0.3050628505159646,1.0
