pc,explained_pct,cumulative_pct
1,53.34890420179832,53.34890420179832
2,21.741384076875622,75.09028827867394
3,6.141659693647753,81.23194797232169
4,5.15519202497466,86.38713999729636
5,3.3104251302929217,89.69756512758929
6,2.1158636504315145,91.8134287780208
7,1.4557442006375694,93.26917297865836
8,1.3154815537534623,94.58465453241183
9,1.22242894278704,95.80708347519887
10,0.7110013272910335,96.5180848024899
11,0.6772668153338711,97.19535161782376
12,0.5135911620057945,97.70894277982957
13,0.4240145400992408,98.1329573199288
14,0.366806524739446,98.49976384466825
15,0.2949084437660933,98.79467228843436
16,0.24956306477027382,99.04423535320463
17,0.20754900669667892,99.25178435990131
18,0.1698161141933808,99.42160047409469
19,0.14727032608437132,99.56887080017906
20,0.10743970091441998,99.67631050109348
21,0.09202467169613994,99.76833517278962
22,0.07269808295203102,99.84103325574165
23,0.06814770011029199,99.90918095585194
24,0.03615306850738961,99.94533402435934
25,0.018530008370603583,99.96386403272993
26,0.01511972527425722,99.97898375800419
27,0.012167756918429976,99.99115151492262
28,0.008848485077374138,100.0
