time,Central California Coastal,Southern California Coastal,Northern Mojave-Mono Lake,San Francisco Bay,Southern Mojave-Salton Sea,Sacramento,North Lahontan,Upper Columbia,Puget Sound,Yakima,Lower Green,Lower Snake,Middle Snake,Black Rock Desert-Humboldt,Colorado Headwaters,San Joaquin,Tulare-Buena Vista Lakes,Lower Gila,Gunnison,Central Nevada Desert Basins,Central Lahontan,Great Salt Lake,Upper Colorado-Dirty Devil,Upper Colorado-Dolores,White-Yampa,San Juan,Great Divide-Upper Green,Lower Colorado,Salt,Middle Gila,Sonora,Little Colorado,Lower Colorado-Lake Mead,Upper Gila,Oregon-Washington Coastal,Bear,Escalante Desert-Sevier Lake,Kootenai-Pend Oreille-Spokane,Upper Snake,Oregon Closed Basins,Middle Columbia,Klamath-Northern California Coastal,Lower Columbia,Willamette
1998-01-01,115.18394455901776,54.66289430877753,53.108441178816776,81.1041741850998,77.31937551805146,160.62926438402337,81.8423709466299,105.85111670597772,106.67315881673491,126.41597881730343,34.38789853290662,106.44616040917575,77.16253497783012,73.494915429747,37.53636434316954,92.79222019530715,96.73322976329706,38.25844040872546,18.47048547741213,57.807872003959275,86.1692504691235,49.931730877226826,28.478479970312247,20.984371571343583,34.19953051419414,29.657258454608627,34.555994083433525,51.499629130840844,39.97108733304489,19.338764055912456,10.513260365614391,24.08009479094813,38.064015232269384,18.957475323571714,146.3638062579355,42.787883372528825,42.869371842188436,110.47934818593649,50.63868020704435,66.05591958215697,108.78569678478212,136.04061585278754,151.29649607754976,176.3308401807312
1998-02-01,367.4490937861644,167.15373195018802,273.27159817773526,284.35175434512547,182.55741950163124,257.6236863433087,257.2275471522357,93.70306992644838,78.70729435725596,145.49566933963663,173.6822091456179,178.8093562569943,188.5125040238681,249.90872962839188,145.31852356262382,387.7768500453767,381.40816309116155,151.13317368337033,79.77149652094427,280.3299326483948,437.0687139745351,234.7152768947417,141.12254145914304,100.31487792421018,152.2571487757221,147.91140508348266,178.13920871709567,170.76392736878228,160.2998202245281,90.75922451675255,69.88270421828224,148.06741785795327,190.92228754967863,77.05477550323457,149.3705487723543,213.88900858901727,204.21911955532468,125.33430478153203,167.23221173653482,175.47754809338815,160.3980755939389,140.159334590125,141.7321313232926,225.22125659889673
1998-03-01,65.1158293137583,121.63765915347925,114.35835983555725,73.17909353811493,134.0253738655711,95.69107329968219,103.9526999695898,103.4288039593934,80.08588030848433,73.51242985282232,159.368244488204,154.529255242184,142.07026802213034,106.87756481034957,187.5484661547562,78.40675676062767,76.76538968630241,104.94402986509485,178.43766995652632,83.40145506650636,102.16583009942558,80.91618930528792,162.00423153377892,166.89449559146522,134.59679883504072,124.26218346213764,125.37505517401424,125.1948211792472,102.81849149656996,131.37101299171027,132.82643876009737,90.68778090935623,133.02850404380334,133.07326964215758,73.84112635085917,94.69280324651501,109.29214882061464,156.34794685659529,139.2097637705631,114.72856163228535,86.59995210798971,94.86377595661985,66.78672937356396,62.777642175718434
1998-04-01,121.32965370112582,65.58449088597247,104.91536107134473,131.05248674572582,85.0960035012355,183.2456361729467,214.84907715022126,48.308402627555836,50.45035147097842,90.76073297336713,222.9912878363746,245.58089502263326,212.57779247312087,198.19105756896138,207.42301154299327,125.0083303277735,117.87520352857187,89.81469990606371,183.68441447426744,152.46722596595242,170.77612168512923,239.65914203687623,120.72141088408203,139.9042238957556,239.97616079347193,144.25208012454928,279.44493961335377,91.0786822184037,76.16969700095447,74.58173219847335,71.53353226755307,93.11000026061436,98.09427732946847,93.97222283884108,92.9119917383852,391.428103684982,149.50754870353651,127.5783689453443,316.1370651214199,170.22303594911034,156.9557846983298,164.9272747528838,130.2192469029641,71.10796352441064
1998-05-01,109.14879146433191,107.8880424180595,158.2925107045211,133.16114297025794,82.88149303407855,182.8911827090522,192.00275798876146,75.50360162403986,74.78148006793107,79.49046214220631,278.29220279597087,230.27946395008286,215.02454481663113,163.86536402615053,220.02571450080316,153.66374238457266,124.81688238343165,77.81186158846873,207.21354336656577,176.7689102653561,186.7662595152642,200.61514746444047,227.1516023765853,231.4316240642181,227.45689215718943,180.10266951584367,196.64619521250393,84.9703044352037,90.76288101527436,83.52908884542258,73.89859523645443,129.32998076377024,153.3941952122475,93.74767137862777,157.4729326183157,168.46596972253542,250.97013396411748,126.48562768824723,206.10859577535922,194.39418311783712,140.8968853772091,205.56112009354285,129.3844423451562,153.76568098329315
1998-06-01,130.84223474686803,95.3043381307382,103.64431813241048,82.85523527728597,80.7614619236014,147.91770373423003,150.16065586118313,93.64345147496937,153.75763868400867,127.2188652619757,89.67350351342782,115.06272439433947,121.55310090565318,113.9022301621152,34.99817497134062,109.87867812516679,140.47919286433518,76.86852042409905,30.445708532114253,110.64322016962656,97.1907727287087,98.69737870899374,53.15361172836892,38.090396301637924,66.55733794043357,35.76243447316024,90.12529403034415,64.86255053026314,43.31093681489808,47.082333366305626,49.00365265525221,30.379848378055165,67.33942084051806,36.816679828890706,135.48156538154205,84.91820674824285,76.98704146649679,97.96870412054518,103.7777278884756,101.73115875582802,105.6117094770683,118.94876927014234,148.84446472542862,151.22939265274826
1998-07-01,110.52701181535136,79.66278230716937,86.44967321045932,119.40015928045536,70.97958034955644,147.49095149219184,106.34906975331717,94.42741494530071,92.86589272909508,121.41017727429362,49.80912713590145,128.14554731229643,83.77345019434364,86.54472204882227,45.44328337344943,101.6384480022143,119.81957771168467,44.15443619583605,59.2498869224078,107.98948651749562,114.34239518970506,73.8518749685545,74.7175081447393,65.37351948394901,42.00242698174706,105.1553457704897,54.25850007022064,68.56662901412216,72.90804850455768,22.204879483106023,18.74192379922025,99.7816179582658,90.81834618961332,36.88055504056253,127.07506125575632,75.36647636132089,66.06643203441932,133.12863443476388,56.67961480391086,118.44113957838482,125.74560453640242,200.20303567465785,111.93776934908729,122.22351446155555
1998-08-01,207.67853931551312,153.17173023741486,138.21731901751966,117.73899507547318,114.5340263647641,98.2047470705264,111.1435486409182,128.53927832327042,93.6849014237709,102.78914198553835,93.94296565001977,93.87087327625616,102.1687776717404,103.12705576327498,82.28369693823458,202.40440844207146,162.0694956435106,67.13442969471814,83.55166536039924,124.98152011425732,125.00763836911028,90.50014793459377,79.53853023255402,88.13510596493167,75.6261711786462,96.35475166185992,90.56727436816409,80.14852643083505,74.7397971657112,57.83009324562004,45.16318462210597,84.05397137132535,97.73174569885741,66.63880029066355,101.94571662041825,102.84561275280528,105.61769258912811,118.72715721129259,111.35982445041738,86.3715592972961,91.07909941459515,103.80895280527305,99.3105533738764,105.86089212736104
1998-09-01,105.27807886896598,110.72705947028106,107.34079526219108,213.8852557609955,99.53778176853918,263.48449344320767,275.7445957107364,75.27534303591165,66.75991081997397,73.23394138383149,206.2613034525319,131.96039175563706,176.61314627781198,244.37671027304458,176.0137139713766,130.16009957197068,95.45263705681104,74.72380099861314,162.50803143897974,142.67420017751905,200.93987306024567,183.39088864426546,151.68061287659617,177.7232876837444,248.4958107643138,129.30603127343244,190.7275291011763,85.47402090809739,98.6460026791724,86.19242875787836,88.61729638475536,106.72090217027646,124.7090588405281,89.74120313473453,70.55131829295023,169.35158764268843,151.57571018158544,93.42741914906041,173.14254304829106,150.28140586846635,74.43441010316367,181.37460915107636,63.19626314242177,57.39313582636817
1998-10-01,73.03440168777847,57.73525911778029,54.69883363422206,84.75994561183172,56.4443055757904,92.44012456129,96.63245636831822,71.82821649868674,75.6221909395092,57.41178269358949,70.82280596321868,79.98988714590394,91.37615881537722,100.2552170711807,64.86188924273206,86.3974558099863,72.3678034506428,74.1363614780786,65.24529649005682,75.61567777609058,99.47079833119383,64.65650535183663,55.72336222352132,56.70313062214149,70.22897762279125,90.03693422621247,51.506425982523055,65.35862093466574,82.90246159112806,68.27652701328724,46.549435939889115,85.89777827787256,49.65412576574339,69.24078510847438,74.36487373788913,47.1026075632888,56.42627986349326,88.81885586315518,62.12000644253275,83.6491626933941,52.64750987243204,100.13333318716826,51.549222570999895,63.22156297662045
