,Upper Colorado Region,Great Basin Region,California Region,Lower Colorado Region,Pacific Northwest Region
Upper Colorado Region,1.0,0.6556721065450883,0.27895274348786847,0.6653915564286426,-0.026439623052888907
Great Basin Region,0.6556721065450883,1.0,0.695643777548937,0.4902593490921918,0.25591209982340696
California Region,0.27895274348786847,0.695643777548937,1.0,0.31298305287744527,0.3995390992894821
Lower Colorado Region,0.6653915564286426,0.4902593490921918,0.31298305287744527,1.0,-0.18828914720545856
Pacific Northwest Region,-0.026439623052888907,0.25591209982340696,0.3995390992894821,-0.18828914720545856,1.0
